time (UTC),latitude (degrees_north),longitude (degrees_east),tmpsfc (K),ugrd10m (m s-1),vgrd10m (m s-1)
2023-12-22T09:00:00Z,42.0,287.5,268.64786,0.117354736,-0.89553463
2023-12-22T09:00:00Z,42.0,288.0,267.84787,1.1573547,-1.4155346
2023-12-22T09:00:00Z,42.0,288.5,269.04785,1.1373547,-0.75553465
2023-12-22T09:00:00Z,42.0,289.0,269.34787,1.3373547,-0.8455346
2023-12-22T09:00:00Z,42.0,289.5,280.74786,1.4873548,-5.7155347
2023-12-22T12:00:00Z,42.0,285.5,267.99814,0.15336914,-0.66825926
2023-12-22T12:00:00Z,42.0,286.0,267.0981,-1.0166309,-0.79825926
2023-12-22T12:00:00Z,42.0,286.5,265.19812,0.77336913,-1.5982592
2023-12-22T12:00:00Z,42.0,287.0,265.79813,1.0733691,-0.84825927
2023-12-22T12:00:00Z,42.0,287.5,267.49814,-0.056630857,-0.88825923
2023-12-22T12:00:00Z,42.0,288.0,266.79813,0.82336915,-1.9082593
2023-12-22T12:00:00Z,42.0,288.5,267.69812,0.9733691,-1.2982593
2023-12-22T12:00:00Z,42.0,289.0,268.89813,1.2833691,-0.80825925
2023-12-22T12:00:00Z,42.0,289.5,280.49814,1.6133691,-5.8182592
2023-12-22T15:00:00Z,42.0,285.5,273.11835,-0.21307617,0.21969482
2023-12-22T15:00:00Z,42.0,286.0,271.91833,-1.0030762,-1.0003052
2023-12-22T15:00:00Z,42.0,286.5,270.31833,0.64692384,-2.2803051
2023-12-22T15:00:00Z,42.0,287.0,272.41833,-0.15307617,-1.2803051
2023-12-22T15:00:00Z,42.0,287.5,273.71835,0.17692383,-1.3203051
2023-12-22T15:00:00Z,42.0,288.0,272.61835,0.17692383,-2.370305
2023-12-22T15:00:00Z,42.0,288.5,273.91833,0.016923828,-1.5303051
2023-12-22T15:00:00Z,42.0,289.0,275.61835,0.29692382,-1.4603051
2023-12-22T15:00:00Z,42.0,289.5,280.41833,0.65692383,-5.680305
2023-12-22T18:00:00Z,42.0,285.5,277.5,0.26860106,0.7692285
2023-12-22T18:00:00Z,42.0,286.0,275.9,-1.0313989,-0.50077146
2023-12-22T18:00:00Z,42.0,286.5,273.7,0.90860105,-1.5907714
2023-12-22T18:00:00Z,42.0,287.0,276.7,-0.121398926,0.049228515
2023-12-22T18:00:00Z,42.0,287.5,277.2,0.5586011,-0.9707715
2023-12-22T18:00:00Z,42.0,288.0,276.6,-0.08139893,-1.4007715
2023-12-22T18:00:00Z,42.0,288.5,277.7,-0.13139892,0.029228514
2023-12-22T18:00:00Z,42.0,289.0,278.30002,-0.23139893,-1.3507714
2023-12-22T18:00:00Z,42.0,289.5,280.4,0.5586011,-4.0307713
2023-12-22T21:00:00Z,42.0,285.5,270.70468,-0.041874997,1.3556689
2023-12-22T21:00:00Z,42.0,286.0,270.30466,-0.941875,-0.12433105
2023-12-22T21:00:00Z,42.0,286.5,269.40466,0.918125,-0.55433106
2023-12-22T21:00:00Z,42.0,287.0,270.20468,-0.101875,0.9756689
2023-12-22T21:00:00Z,42.0,287.5,270.50467,0.468125,0.33566895
2023-12-22T21:00:00Z,42.0,288.0,270.30466,-0.311875,0.15566894
2023-12-22T21:00:00Z,42.0,288.5,270.40466,-0.111875,0.99566895
2023-12-22T21:00:00Z,42.0,289.0,271.30466,-1.1118749,-0.68433106
2023-12-22T21:00:00Z,42.0,289.5,280.30466,-0.071875,-1.974331
2023-12-23T00:00:00Z,42.0,285.5,269.0,0.73468506,0.8398559
2023-12-23T00:00:00Z,42.0,286.0,268.2,-0.16531494,-0.33014405
2023-12-23T00:00:00Z,42.0,286.5,267.7,-0.015314941,0.26985595
2023-12-23T00:00:00Z,42.0,287.0,268.4,0.64468503,0.61985594
2023-12-23T00:00:00Z,42.0,287.5,268.80002,-0.28531495,0.80985594
2023-12-23T00:00:00Z,42.0,288.0,268.5,-0.10531494,0.74985594
2023-12-23T00:00:00Z,42.0,288.5,269.0,-0.36531493,1.0898559
2023-12-23T00:00:00Z,42.0,289.0,269.9,-0.88531494,0.87985593
2023-12-23T00:00:00Z,42.0,289.5,280.30002,-0.55531496,0.019855957
2023-12-23T03:00:00Z,42.0,285.5,269.28745,0.5965576,1.3021533
2023-12-23T03:00:00Z,42.0,286.0,268.58746,0.076557614,0.49215332
2023-12-23T03:00:00Z,42.0,286.5,268.48746,-0.37344238,1.0621533
2023-12-23T03:00:00Z,42.0,287.0,268.98746,0.3065576,1.1621532
2023-12-23T03:00:00Z,42.0,287.5,268.98746,-0.5234424,1.1321533
2023-12-23T03:00:00Z,42.0,288.0,268.28745,-0.023442382,1.3521533
2023-12-23T03:00:00Z,42.0,288.5,268.98746,0.2165576,1.3821533
2023-12-23T03:00:00Z,42.0,289.0,269.88745,0.046557616,1.3421533
2023-12-23T03:00:00Z,42.0,289.5,280.28745,-0.18344238,1.6921533
2023-12-23T06:00:00Z,42.0,285.5,268.90472,1.0807202,1.39302
2023-12-23T06:00:00Z,42.0,286.0,268.2047,0.6407202,1.07302
2023-12-23T06:00:00Z,42.0,286.5,268.00473,-0.45927978,1.59302
2023-12-23T06:00:00Z,42.0,287.0,269.00473,0.6807202,1.32302
2023-12-23T06:00:00Z,42.0,287.5,269.40472,-0.35927978,1.44302
2023-12-23T06:00:00Z,42.0,288.0,268.90472,0.5507202,1.28302
2023-12-23T06:00:00Z,42.0,288.5,269.30472,0.7507202,1.05302
2023-12-23T06:00:00Z,42.0,289.0,269.80472,0.3807202,1.21302
2023-12-23T06:00:00Z,42.0,289.5,280.40472,0.4407202,2.6930199
2023-12-23T09:00:00Z,42.0,285.5,268.86578,0.9301831,1.1837646
2023-12-23T09:00:00Z,42.0,286.0,268.56577,0.010183105,1.3237646
2023-12-23T09:00:00Z,42.0,286.5,267.9658,-0.7998169,1.6837646
2023-12-23T09:00:00Z,42.0,287.0,268.4658,0.86018306,0.9737646
2023-12-23T09:00:00Z,42.0,287.5,269.16577,-0.17981689,1.4137646
2023-12-23T09:00:00Z,42.0,288.0,268.76578,0.5501831,1.2737646
2023-12-23T09:00:00Z,42.0,288.5,269.86578,0.6201831,1.0237646
2023-12-23T09:00:00Z,42.0,289.0,270.26578,0.2101831,1.0937647
2023-12-23T09:00:00Z,42.0,289.5,280.26578,1.050183,3.2437646
2023-12-23T12:00:00Z,42.0,285.5,270.67807,0.9579834,1.4631225
2023-12-23T12:00:00Z,42.0,286.0,268.37808,0.23798339,1.3931226
2023-12-23T12:00:00Z,42.0,286.5,268.0781,-0.93201655,1.3531225
2023-12-23T12:00:00Z,42.0,287.0,268.17807,0.3079834,1.3831226
2023-12-23T12:00:00Z,42.0,287.5,268.9781,-0.20201659,0.97312254
2023-12-23T12:00:00Z,42.0,288.0,268.5781,0.1979834,1.1931225
2023-12-23T12:00:00Z,42.0,288.5,269.37808,0.047983397,0.9231225
2023-12-23T12:00:00Z,42.0,289.0,269.4781,0.0879834,0.7431225
2023-12-23T12:00:00Z,42.0,289.5,279.9781,1.1479834,1.6831225
2023-12-23T15:00:00Z,42.0,285.5,271.26755,0.9327295,1.5661817
2023-12-23T15:00:00Z,42.0,286.0,273.56754,0.022729492,2.6061816
2023-12-23T15:00:00Z,42.0,286.5,273.66754,-0.2072705,2.4461815
2023-12-23T15:00:00Z,42.0,287.0,274.36752,0.21272948,2.1961815
2023-12-23T15:00:00Z,42.0,287.5,275.56754,0.3927295,1.7261816
2023-12-23T15:00:00Z,42.0,288.0,275.46753,0.31272948,1.9061816
2023-12-23T15:00:00Z,42.0,288.5,276.46753,-0.017270507,1.7361816
2023-12-23T15:00:00Z,42.0,289.0,276.96753,-0.1272705,1.6861815
2023-12-23T15:00:00Z,42.0,289.5,280.06754,0.22272949,3.0461817
2023-12-23T18:00:00Z,42.0,285.5,273.66568,1.1499145,1.9791039
2023-12-23T18:00:00Z,42.0,286.0,276.3657,0.36991453,3.079104
2023-12-23T18:00:00Z,42.0,286.5,273.56567,-0.38008544,2.109104
2023-12-23T18:00:00Z,42.0,287.0,276.56567,0.9599145,2.9091039
2023-12-23T18:00:00Z,42.0,287.5,278.3657,1.0099145,2.479104
2023-12-23T18:00:00Z,42.0,288.0,278.16568,1.1499145,2.6891038
2023-12-23T18:00:00Z,42.0,288.5,278.96567,0.64991456,2.6791039
2023-12-23T18:00:00Z,42.0,289.0,279.8657,0.9599145,2.609104
2023-12-23T18:00:00Z,42.0,289.5,280.06567,0.9999145,3.829104
2023-12-23T21:00:00Z,42.0,285.5,271.99997,0.42971924,1.2380933
2023-12-23T21:00:00Z,42.0,286.0,273.09998,-0.010280762,1.7580932
2023-12-23T21:00:00Z,42.0,286.5,272.99997,-0.29028076,1.9680933
2023-12-23T21:00:00Z,42.0,287.0,273.19998,0.6697192,1.6080933
2023-12-23T21:00:00Z,42.0,287.5,273.8,0.26971924,1.1280932
2023-12-23T21:00:00Z,42.0,288.0,272.9,0.6197192,1.4880933
2023-12-23T21:00:00Z,42.0,288.5,272.69998,0.5997192,1.3980932
2023-12-23T21:00:00Z,42.0,289.0,273.19998,-0.21028076,1.9080932
2023-12-23T21:00:00Z,42.0,289.5,280.09998,1.0897192,4.308093
2023-12-24T00:00:00Z,42.0,285.5,271.46832,0.65925294,1.022583
2023-12-24T00:00:00Z,42.0,286.0,272.36832,0.3792529,1.382583
2023-12-24T00:00:00Z,42.0,286.5,272.2683,-0.53074706,1.652583
2023-12-24T00:00:00Z,42.0,287.0,272.2683,0.91925293,0.852583
2023-12-24T00:00:00Z,42.0,287.5,273.06833,-0.01074707,1.4825829
2023-12-24T00:00:00Z,42.0,288.0,273.46832,0.66925293,1.402583
2023-12-24T00:00:00Z,42.0,288.5,272.7683,0.9692529,1.382583
2023-12-24T00:00:00Z,42.0,289.0,271.96832,0.5892529,1.6125829
2023-12-24T00:00:00Z,42.0,289.5,280.1683,0.7992529,4.762583
2023-12-24T03:00:00Z,42.0,285.5,271.37546,0.8990771,1.3661548
2023-12-24T03:00:00Z,42.0,286.0,272.57547,0.53907716,1.6161548
2023-12-24T03:00:00Z,42.0,286.5,272.07547,-0.49092284,1.9061548
2023-12-24T03:00:00Z,42.0,287.0,272.57547,0.92907715,1.1361548
2023-12-24T03:00:00Z,42.0,287.5,273.17548,-0.22092284,1.7461548
2023-12-24T03:00:00Z,42.0,288.0,273.07547,0.6990771,1.4461547
2023-12-24T03:00:00Z,42.0,288.5,272.67548,0.67907715,1.4761548
2023-12-24T03:00:00Z,42.0,289.0,274.17548,-0.20092285,1.5461547
2023-12-24T03:00:00Z,42.0,289.5,280.27548,0.44907713,4.356155
2023-12-24T06:00:00Z,42.0,285.5,272.03363,0.9888208,1.0499976
2023-12-24T06:00:00Z,42.0,286.0,273.13364,0.0888208,1.7799975
2023-12-24T06:00:00Z,42.0,286.5,272.43362,-0.14117919,1.6799976
2023-12-24T06:00:00Z,42.0,287.0,272.93362,1.1988208,0.76999754
2023-12-24T06:00:00Z,42.0,287.5,273.03363,-0.0411792,1.5699975
2023-12-24T06:00:00Z,42.0,288.0,272.83362,0.8488208,1.3499975
2023-12-24T06:00:00Z,42.0,288.5,273.2336,0.63882077,1.3199975
2023-12-24T06:00:00Z,42.0,289.0,273.43362,0.4288208,1.1299975
2023-12-24T06:00:00Z,42.0,289.5,280.33362,1.0488207,4.6099973
2023-12-24T09:00:00Z,42.0,285.5,272.3853,0.64510494,1.2294897
2023-12-24T09:00:00Z,42.0,286.0,273.48532,0.11510498,1.7494897
2023-12-24T09:00:00Z,42.0,286.5,273.1853,-0.034895018,1.7594897
2023-12-24T09:00:00Z,42.0,287.0,273.2853,1.155105,0.5794897
2023-12-24T09:00:00Z,42.0,287.5,273.7853,-0.14489502,1.4294897
2023-12-24T09:00:00Z,42.0,288.0,273.3853,1.145105,0.98948973
2023-12-24T09:00:00Z,42.0,288.5,273.48532,1.2351049,0.97948974
2023-12-24T09:00:00Z,42.0,289.0,273.2853,0.725105,1.0494897
2023-12-24T09:00:00Z,42.0,289.5,280.1853,1.415105,3.8294897
2023-12-24T12:00:00Z,42.0,285.5,272.7336,0.49626708,1.3697338
2023-12-24T12:00:00Z,42.0,286.0,273.7336,0.57626706,1.5297339
2023-12-24T12:00:00Z,42.0,286.5,273.7336,-0.5437329,1.4297339
2023-12-24T12:00:00Z,42.0,287.0,273.9336,0.44626707,0.9097339
2023-12-24T12:00:00Z,42.0,287.5,273.4336,-0.6137329,0.49973387
2023-12-24T12:00:00Z,42.0,288.0,273.6336,-0.06373291,0.5897339
2023-12-24T12:00:00Z,42.0,288.5,273.9336,-0.2737329,0.12973389
2023-12-24T12:00:00Z,42.0,289.0,273.5336,-0.2637329,-0.020266112
2023-12-24T12:00:00Z,42.0,289.5,280.7336,0.20626709,2.1297338
2023-12-24T15:00:00Z,42.0,285.5,273.5441,0.7878516,1.1799389
2023-12-24T15:00:00Z,42.0,286.0,275.0441,0.31785154,1.4099389
2023-12-24T15:00:00Z,42.0,286.5,275.1441,-0.52214843,1.5299389
2023-12-24T15:00:00Z,42.0,287.0,274.5441,0.19785155,1.229939
2023-12-24T15:00:00Z,42.0,287.5,275.0441,0.007851562,0.22993895
2023-12-24T15:00:00Z,42.0,288.0,276.1441,-0.64214844,0.8599389
2023-12-24T15:00:00Z,42.0,288.5,278.0441,-0.40214843,0.37993896
2023-12-24T15:00:00Z,42.0,289.0,279.4441,-0.8121484,0.44993895
2023-12-24T15:00:00Z,42.0,289.5,280.7441,-0.102148436,2.049939
2023-12-24T18:00:00Z,42.0,285.5,273.7244,1.0263891,0.5723169
2023-12-24T18:00:00Z,42.0,286.0,275.1244,0.116389155,1.5623169
2023-12-24T18:00:00Z,42.0,286.5,276.02438,-0.03361084,1.6623168
2023-12-24T18:00:00Z,42.0,287.0,276.6244,0.29638916,1.0723169
2023-12-24T18:00:00Z,42.0,287.5,275.4244,0.02638916,0.022316894
2023-12-24T18:00:00Z,42.0,288.0,275.8244,-0.19361083,0.86231685
2023-12-24T18:00:00Z,42.0,288.5,280.8244,-0.37361082,0.7723169
2023-12-24T18:00:00Z,42.0,289.0,281.3244,-0.8036108,1.1423168
2023-12-24T18:00:00Z,42.0,289.5,280.9244,0.16638915,2.532317
2023-12-24T21:00:00Z,42.0,285.5,273.60986,0.9148633,0.095156245
2023-12-24T21:00:00Z,42.0,286.0,274.70987,-0.4351367,0.5051562
2023-12-24T21:00:00Z,42.0,286.5,274.30988,-0.24513671,1.3551562
2023-12-24T21:00:00Z,42.0,287.0,274.60986,0.22486328,0.72515625
2023-12-24T21:00:00Z,42.0,287.5,275.10986,-0.42513672,-0.03484375
2023-12-24T21:00:00Z,42.0,288.0,275.30988,-0.22513671,-0.06484375
2023-12-24T21:00:00Z,42.0,288.5,276.30988,-0.38513672,-0.40484375
2023-12-24T21:00:00Z,42.0,289.0,277.70987,-0.7851367,0.55515623
2023-12-24T21:00:00Z,42.0,289.5,280.90988,-1.9351367,3.0451562
2023-12-25T00:00:00Z,42.0,285.5,273.4713,0.3967517,-0.2989746
2023-12-25T00:00:00Z,42.0,286.0,274.17133,-0.52324826,-0.4689746
2023-12-25T00:00:00Z,42.0,286.5,273.77133,-0.5632483,0.18102539
2023-12-25T00:00:00Z,42.0,287.0,274.27133,-0.08324829,0.08102539
2023-12-25T00:00:00Z,42.0,287.5,275.07132,-0.35324827,-0.4589746
2023-12-25T00:00:00Z,42.0,288.0,275.4713,-0.25324827,-0.4389746
2023-12-25T00:00:00Z,42.0,288.5,276.57132,-0.35324827,-1.0789746
2023-12-25T00:00:00Z,42.0,289.0,278.3713,-1.1632483,0.6010254
2023-12-25T00:00:00Z,42.0,289.5,280.8713,-2.3532481,3.9610252
2023-12-25T03:00:00Z,42.0,285.5,273.65878,0.40053466,0.15197021
2023-12-25T03:00:00Z,42.0,286.0,273.75876,-0.10946533,-0.7880298
2023-12-25T03:00:00Z,42.0,286.5,274.05878,-0.33946532,0.14197022
2023-12-25T03:00:00Z,42.0,287.0,274.25876,0.37053466,-0.11802978
2023-12-25T03:00:00Z,42.0,287.5,274.95877,-0.02946533,-0.9780298
2023-12-25T03:00:00Z,42.0,288.0,275.65878,-0.47946534,-0.69802976
2023-12-25T03:00:00Z,42.0,288.5,276.85876,-0.30946532,-1.5480298
2023-12-25T03:00:00Z,42.0,289.0,278.75876,-0.9394653,0.26197022
2023-12-25T03:00:00Z,42.0,289.5,280.85876,-2.0394652,4.14197
2023-12-25T06:00:00Z,42.0,285.5,273.66367,0.43180662,0.7835132
2023-12-25T06:00:00Z,42.0,286.0,274.0637,0.12180664,-0.3164868
2023-12-25T06:00:00Z,42.0,286.5,274.16367,-0.35819334,0.27351317
2023-12-25T06:00:00Z,42.0,287.0,274.16367,-0.26819336,0.0035131834
2023-12-25T06:00:00Z,42.0,287.5,274.96368,-0.22819336,-0.8764868
2023-12-25T06:00:00Z,42.0,288.0,275.46368,-0.52819335,-0.6864868
2023-12-25T06:00:00Z,42.0,288.5,276.96368,0.31180662,-0.9464868
2023-12-25T06:00:00Z,42.0,289.0,279.36368,-0.70819336,1.1935132
2023-12-25T06:00:00Z,42.0,289.5,280.86368,-1.6081933,4.453513
2023-12-25T09:00:00Z,42.0,285.5,273.75113,0.10752319,0.89248043
2023-12-25T09:00:00Z,42.0,286.0,274.15112,0.06752319,-0.05751953
2023-12-25T09:00:00Z,42.0,286.5,274.25113,-0.5224768,0.26248047
2023-12-25T09:00:00Z,42.0,287.0,274.35114,-0.19247681,-0.08751953
2023-12-25T09:00:00Z,42.0,287.5,275.05112,-0.2624768,-0.9475195
2023-12-25T09:00:00Z,42.0,288.0,275.55112,-0.4024768,-0.7375195
2023-12-25T09:00:00Z,42.0,288.5,277.15112,-0.1124768,-1.2375195
2023-12-25T09:00:00Z,42.0,289.0,279.35114,0.08752319,0.37248045
2023-12-25T09:00:00Z,42.0,289.5,280.75113,-2.0424767,3.9924803
2023-12-25T12:00:00Z,42.0,285.5,271.2441,0.11012695,0.61383545
2023-12-25T12:00:00Z,42.0,286.0,272.14413,0.58012694,0.04383545
2023-12-25T12:00:00Z,42.0,286.5,274.34412,-0.86987305,0.24383545
2023-12-25T12:00:00Z,42.0,287.0,274.34412,-0.47987303,0.07383545
2023-12-25T12:00:00Z,42.0,287.5,275.94412,-0.13987304,-0.69616455
2023-12-25T12:00:00Z,42.0,288.0,276.14413,-0.09987304,-0.28616455
2023-12-25T12:00:00Z,42.0,288.5,277.14413,-0.24987304,-0.36616454
2023-12-25T12:00:00Z,42.0,289.0,277.94412,-0.41987303,-0.26616454
2023-12-25T12:00:00Z,42.0,289.5,280.84412,-1.259873,1.9538354
2023-12-25T15:00:00Z,42.0,285.5,277.66605,-0.04078125,1.4558398
2023-12-25T15:00:00Z,42.0,286.0,279.46603,0.14921875,0.8358398
2023-12-25T15:00:00Z,42.0,286.5,279.56604,-0.7207812,0.6458398
2023-12-25T15:00:00Z,42.0,287.0,279.76605,-0.35078123,0.5158398
2023-12-25T15:00:00Z,42.0,287.5,280.96603,-0.30078125,-0.23416016
2023-12-25T15:00:00Z,42.0,288.0,279.76605,-0.5107812,0.025839843
2023-12-25T15:00:00Z,42.0,288.5,282.86606,-1.0207813,-0.13416015
2023-12-25T15:00:00Z,42.0,289.0,283.06604,-1.1707813,-0.38416016
2023-12-25T15:00:00Z,42.0,289.5,280.66605,-2.1807811,0.45583984
2023-12-25T18:00:00Z,42.0,285.5,280.86337,-0.028879395,1.7857764
2023-12-25T18:00:00Z,42.0,286.0,282.96335,0.2211206,1.4857763
2023-12-25T18:00:00Z,42.0,286.5,282.46335,0.1211206,2.0657763
2023-12-25T18:00:00Z,42.0,287.0,282.06335,-0.5488794,1.7057763
2023-12-25T18:00:00Z,42.0,287.5,284.56335,-0.16887939,1.3657763
2023-12-25T18:00:00Z,42.0,288.0,284.46335,-0.69887936,0.99577636
2023-12-25T18:00:00Z,42.0,288.5,285.56335,-1.1188793,0.88577634
2023-12-25T18:00:00Z,42.0,289.0,286.46335,-1.3488793,0.7757763
2023-12-25T18:00:00Z,42.0,289.5,280.86337,-2.9688792,0.93577635
2023-12-25T21:00:00Z,42.0,285.5,274.7879,0.09121094,1.4763525
2023-12-25T21:00:00Z,42.0,286.0,277.5879,0.35121092,0.55635256
2023-12-25T21:00:00Z,42.0,286.5,277.5879,-1.198789,1.0463525
2023-12-25T21:00:00Z,42.0,287.0,278.2879,-0.76878905,1.0363525
2023-12-25T21:00:00Z,42.0,287.5,280.8879,0.19121094,0.70635253
2023-12-25T21:00:00Z,42.0,288.0,280.0879,0.14121093,1.1263525
2023-12-25T21:00:00Z,42.0,288.5,279.6879,-0.15878905,0.8663525
2023-12-25T21:00:00Z,42.0,289.0,280.3879,-1.328789,0.41635254
2023-12-25T21:00:00Z,42.0,289.5,280.5879,-2.338789,1.8663524
2023-12-26T00:00:00Z,42.0,285.5,272.23642,0.3340454,1.086433
2023-12-26T00:00:00Z,42.0,286.0,275.43643,0.8340454,0.3764331
2023-12-26T00:00:00Z,42.0,286.5,275.23642,-0.9859546,0.8664331
2023-12-26T00:00:00Z,42.0,287.0,277.03644,0.2340454,0.6864331
2023-12-26T00:00:00Z,42.0,287.5,279.63644,0.1740454,-0.07356689
2023-12-26T00:00:00Z,42.0,288.0,279.43643,-0.45595458,1.0664331
2023-12-26T00:00:00Z,42.0,288.5,277.73642,-0.3859546,0.76643306
2023-12-26T00:00:00Z,42.0,289.0,277.73642,0.6240454,0.7364331
2023-12-26T00:00:00Z,42.0,289.5,280.53644,0.03404541,2.056433
2023-12-26T03:00:00Z,42.0,285.5,273.12924,0.46855223,1.0552881
2023-12-26T03:00:00Z,42.0,286.0,274.92926,0.7285522,0.81528807
2023-12-26T03:00:00Z,42.0,286.5,274.82925,-0.9014477,1.0452881
2023-12-26T03:00:00Z,42.0,287.0,274.82925,0.7885522,0.56528807
2023-12-26T03:00:00Z,42.0,287.5,276.72925,0.088552244,1.005288
2023-12-26T03:00:00Z,42.0,288.0,276.42926,0.5485522,0.94528806
2023-12-26T03:00:00Z,42.0,288.5,276.92926,-0.12144775,1.1352881
2023-12-26T03:00:00Z,42.0,289.0,276.72925,0.06855225,0.87528807
2023-12-26T03:00:00Z,42.0,289.5,280.52927,1.6385522,0.71528804
