ID,ESN,MTH,DAY,HR_GMT,MIN,YEARDAY,LON,LAT,DEPTH,TEMP,YEAR
228400691,3356081,8,21,16,50,233.66666666666666,-69.210485,40.053207,0.1,nan,2022
228400691,3356081,8,21,16,50,233.66666666666666,-69.210485,40.053207,0.1,nan,2022
228400691,3356081,8,21,17,28,233.70833333333334,-69.21645,40.049462,0.1,nan,2022
228400691,3356081,8,21,17,28,233.70833333333334,-69.21645,40.049462,0.1,nan,2022
228400691,3356081,8,21,18,18,233.75,-69.228939,40.048282,0.1,nan,2022
228400691,3356081,8,21,18,18,233.75,-69.228939,40.048282,0.1,nan,2022
228400691,3356081,8,21,18,53,233.75,-69.236041,40.048132,0.1,nan,2022
228400691,3356081,8,21,18,53,233.75,-69.236041,40.048132,0.1,nan,2022
228400691,3356081,8,21,19,32,233.79166666666666,-69.244968,40.052209,0.1,nan,2022
228400691,3356081,8,21,19,32,233.79166666666666,-69.244968,40.052209,0.1,nan,2022
228400691,3356081,8,21,20,53,233.83333333333334,-69.253529,40.061661,0.1,nan,2022
228400691,3356081,8,21,20,53,233.83333333333334,-69.253529,40.061661,0.1,nan,2022
228400691,3356081,8,21,21,15,233.875,-69.252628,40.064536,0.1,nan,2022
228400691,3356081,8,21,21,15,233.875,-69.252628,40.064536,0.1,nan,2022
228400691,3356081,8,21,21,57,233.875,-69.253765,40.068109,0.1,nan,2022
228400691,3356081,8,21,21,57,233.875,-69.253765,40.068109,0.1,nan,2022
228400691,3356081,8,21,22,32,233.91666666666666,-69.254731,40.070426,0.1,nan,2022
228400691,3356081,8,21,22,32,233.91666666666666,-69.254731,40.070426,0.1,nan,2022
228400691,3356081,8,21,23,12,233.95833333333334,-69.256576,40.072465,0.1,nan,2022
228400691,3356081,8,21,23,12,233.95833333333334,-69.256576,40.072465,0.1,nan,2022
228400691,3356081,8,21,23,40,233.95833333333334,-69.257349,40.073302,0.1,nan,2022
228400691,3356081,8,21,23,40,233.95833333333334,-69.257349,40.073302,0.1,nan,2022
228400691,3356081,8,22,0,20,234.0,-69.258486,40.073591,0.1,nan,2022
228400691,3356081,8,22,0,20,234.0,-69.258486,40.073591,0.1,nan,2022
228400691,3356081,8,22,0,46,234.0,-69.257778,40.072594,0.1,nan,2022
228400691,3356081,8,22,0,46,234.0,-69.257778,40.072594,0.1,nan,2022
228400691,3356081,8,22,1,25,234.04166666666666,-69.258507,40.071682,0.1,nan,2022
228400691,3356081,8,22,1,25,234.04166666666666,-69.258507,40.071682,0.1,nan,2022
228400691,3356081,8,22,2,3,234.08333333333334,-69.259773,40.071199,0.1,nan,2022
228400691,3356081,8,22,2,3,234.08333333333334,-69.259773,40.071199,0.1,nan,2022
228400691,3356081,8,22,2,40,234.08333333333334,-69.259666,40.068281,0.1,nan,2022
228400691,3356081,8,22,2,40,234.08333333333334,-69.259666,40.068281,0.1,nan,2022
228400691,3356081,8,22,3,11,234.125,-69.262842,40.066339,0.1,nan,2022
228400691,3356081,8,22,3,11,234.125,-69.262842,40.066339,0.1,nan,2022
228400691,3356081,8,22,3,53,234.125,-69.268957,40.067068,0.1,nan,2022
228400691,3356081,8,22,3,53,234.125,-69.268957,40.067068,0.1,nan,2022
228400692,3362619,8,21,8,25,233.33333333333334,-69.224368,40.07122,0.1,nan,2022
228400692,3362619,8,21,8,25,233.33333333333334,-69.224368,40.07122,0.1,nan,2022
228400692,3362619,8,21,8,38,233.33333333333334,-69.223875,40.072604,0.1,nan,2022
228400692,3362619,8,21,8,38,233.33333333333334,-69.223875,40.072604,0.1,nan,2022
228400692,3362619,8,21,9,10,233.375,-69.221965,40.074954,0.1,nan,2022
228400692,3362619,8,21,9,10,233.375,-69.221965,40.074954,0.1,nan,2022
228400692,3362619,8,21,9,36,233.375,-69.220763,40.075609,0.1,nan,2022
228400692,3362619,8,21,9,36,233.375,-69.220763,40.075609,0.1,nan,2022
228400692,3362619,8,21,10,8,233.41666666666666,-69.218103,40.077035,0.1,nan,2022
